thunder,acid,cold,fire,lightning,poison
99,96,101,103,103,104
224,198,148,196,293,235
46,56,51,74,63,73
198,226,204,210,194,236
185,132,46,169,164,127
71,85,99,115,75,82
138,123,271,126,64,258
294,272,200,276,216,305
189,131,176,161,168,207
190,201,188,189,199,191
263,264,256,274,263,264
41,117,119,53,89,112
199,245,247,204,138,179
268,233,230,225,297,254
56,227,279,83,45,142
73,81,63,51,60,92
150,134,109,39,108,142
86,134,226,254,223,90
195,276,312,295,66,179
289,255,213,284,238,280
80,82,120,79,59,128
172,164,136,128,136,144
81,243,138,261,241,235
76,76,76,76,76,76
217,109,99,212,119,250
130,152,135,133,163,145
119,143,108,130,117,109
104,106,99,107,106,106
308,270,312,295,306,267
179,128,120,225,109,214
253,252,255,228,224,272
138,156,189,161,102,141
290,310,288,277,243,235
35,50,45,68,63,64
192,136,155,213,132,169
11,9,22,20,33,17
85,107,90,107,162,56
271,231,229,273,262,248
29,258,197,239,206,129
314,291,265,292,197,300
176,281,180,263,176,257
0,0,0,0,0,0
278,278,284,285,283,285
21,23,36,38,23,39
82,259,99,96,283,163
136,241,135,253,203,159
145,208,91,293,229,80
331,319,322,326,323,333
29,143,157,126,45,49
257,255,264,271,258,266
