weapon,x,y,dmg,dmg_type
arrow,69.6341958261184,94.27175171093926,249,thunder
arrow,10.68502235387,5.156638861028739,281,acid
rifle,68.80077365689115,99.74831022071594,259,cold
bomb,40.577533177119996,23.650883251992415,306,fire
magic,33.96511981770244,5.905223331042797,194,acid
magic,23.418155769085157,21.385552854750657,21,thunder
rifle,61.50767302950605,83.6325130399813,139,acid
bomb,13.255376322642554,62.44539004774349,165,lightning
arrow,65.7982234531035,48.02795568788346,274,thunder
bomb,51.8983470241825,24.285877521216847,176,lightning
arrow,76.66211078727393,79.36932133769417,307,poison
rifle,33.561784430188766,8.80327345276718,256,fire
bomb,31.510893473919623,84.99692618298302,239,fire
arrow,79.46370826883087,16.931895515235606,189,lightning
rifle,55.74944868302849,43.725572876494354,85,cold
rifle,28.13839000891055,19.649483779699516,49,thunder
rifle,20.55714893901578,46.29749340258845,318,fire
rifle,71.28473688832837,98.11478690237152,271,acid
arrow,68.41010512131454,79.42636899015676,13,poison
rifle,31.17888554139804,40.864149093096316,161,cold
rifle,93.1154687391436,30.98876823159278,104,thunder
rifle,53.71777656634058,88.0232269629394,193,lightning
rifle,45.52231947876866,97.9024928855432,156,fire
magic,18.861665321280775,76.11812915511243,226,cold
rifle,30.45394614440443,35.4896035034973,334,thunder
arrow,59.48894716851939,47.71874078936761,21,thunder
magic,46.65424961606296,97.02542034994326,294,lightning
arrow,74.00197984761562,76.72197500496382,249,lightning
magic,55.989292263847155,59.633292982678796,8,cold
bomb,15.417958446231527,1.779898715808892,149,cold
magic,99.16396732112459,35.5394148780267,182,lightning
rifle,5.593023655116203,44.81272768944996,158,lightning
arrow,57.38354585648883,56.64004312565678,225,fire
magic,93.07178451881165,43.4868941026715,276,lightning
bomb,49.044926484568386,33.751788824966944,193,acid
rifle,26.134303557356763,21.768132939791872,142,cold
magic,44.57227844908411,78.49105219489213,63,lightning
bomb,75.07289423371166,42.81112450768937,284,acid
magic,93.17082201467983,97.03812375300292,186,lightning
magic,94.91329049418353,73.00943946795189,101,thunder
magic,28.074198694050335,29.046444351962098,210,fire
bomb,17.176021636340455,98.59566783188211,50,acid
bomb,9.16644740495861,29.821602737789576,93,lightning
rifle,55.65603940707248,44.46224348402272,89,fire
magic,56.34518536554312,89.18718312517645,34,poison
magic,50.837977100236586,52.675897276023754,13,poison
rifle,87.70295099656798,62.95847839781432,295,fire
rifle,55.192478440166845,28.150208098592266,92,poison
rifle,7.672091178524154,35.86409145218185,47,thunder
bomb,88.50155085404486,70.61867820783249,162,cold
rifle,67.42432969713431,1.1126756217995082,245,thunder
bomb,64.31424695519885,31.91032131867121,230,acid
bomb,80.65843423061227,31.677211570245955,271,acid
bomb,73.27511125388007,81.76422010456068,272,cold
rifle,26.535847114016654,93.83485990067093,89,lightning
rifle,54.54157590204787,26.415066092447816,295,fire
bomb,38.11336920903921,77.25761256820147,349,cold
arrow,44.23576329577548,12.407744810277732,209,poison
rifle,6.7364864850569255,3.802648193957836,57,thunder
magic,93.99608194793136,31.860100779709587,338,acid
arrow,25.589340863255405,92.36467075031312,47,fire
bomb,16.328144790999044,69.83446165553791,225,thunder
bomb,94.52866221166053,37.13613222957272,125,acid
rifle,7.885561508209193,61.49729582196848,349,cold
bomb,77.45601304003914,18.884624862804056,276,thunder
rifle,69.64273145816352,27.916533763041183,27,lightning
magic,3.8250593323790993,93.97252854415683,149,cold
magic,59.033512206387684,11.504499511530463,113,fire
bomb,41.2185651309802,84.17154516944117,175,lightning
arrow,58.51297076424663,26.633627357719547,68,lightning
bomb,55.06411674746795,13.08071912760045,40,acid
arrow,85.1897439234922,32.77033072165716,69,thunder
bomb,34.81700654649027,44.77044316161173,260,lightning
rifle,44.40701478319361,11.681336335508231,288,fire
magic,97.66678779023256,19.86147882187954,345,fire
magic,20.368250925307997,77.96224227066094,305,poison
arrow,86.11706541433435,76.89657149712191,116,poison
rifle,91.78458128750783,84.64294826242032,157,fire
arrow,94.52514512889779,24.71578650766464,324,cold
magic,5.330013125745959,84.42569223264226,213,fire
bomb,87.89356181130657,97.44521714656139,260,cold
arrow,3.372649809107564,17.899521234501815,195,fire
rifle,73.89418000471946,97.08169904090747,291,thunder
magic,60.45568343293826,79.92865989381,168,lightning
arrow,35.12643729789563,75.44927364728763,145,thunder
bomb,88.64068923183635,42.09103780482466,37,fire
bomb,71.65135140555765,1.1351827564725303,188,poison
magic,42.96134805219703,52.65965134766598,169,fire
arrow,15.341596827752557,88.3033162331083,307,lightning
magic,25.949433295969794,25.68581589017991,78,fire
magic,41.92387421450148,19.484764449487702,159,acid
rifle,14.672157510659467,62.07763799024444,37,fire
bomb,14.339570941533886,15.153516796144428,19,lightning
magic,86.23578143274614,63.71396264489137,329,cold
magic,62.529541784579564,51.165191956180436,258,lightning
arrow,34.281302388552604,89.60283034742832,267,cold
magic,70.46292576343768,47.14341680021921,299,thunder
bomb,81.5016458138316,89.85571596120242,206,thunder
arrow,15.638194948290751,6.830321694900121,148,acid
bomb,29.863837196342512,10.21277584617286,179,poison
bomb,95.24547413782945,77.67452941916314,34,acid
magic,65.57645352532414,57.234870647399674,111,thunder
rifle,93.60907145608391,2.4893655444517493,242,lightning
rifle,68.1459846075488,38.89010892060839,85,thunder
arrow,35.193278183845145,68.57787750436809,125,thunder
bomb,72.04494766366744,5.796937653757428,161,poison
magic,73.77518213706796,50.32473850541891,295,cold
arrow,27.77786586888994,15.659678089367457,74,lightning
bomb,22.033798828049434,90.07363423177021,256,cold
arrow,56.53804915036616,78.79024961819225,76,poison
bomb,94.71197620233872,67.68670123860907,55,thunder
bomb,46.245180548757794,74.9906066784442,38,cold
bomb,33.06535246895898,95.03430368115592,159,poison
rifle,78.01638265068735,30.391231449139134,306,poison
bomb,21.549945557615622,65.59546076963247,126,lightning
rifle,4.697823913764488,5.213485179687838,243,poison
magic,39.407928041094166,43.68134139884686,210,acid
magic,28.680059719261173,94.56009452061011,174,lightning
bomb,16.37696475950299,47.98460499468534,128,fire
bomb,91.40373268124927,90.50172744904746,86,lightning
arrow,20.864577389195247,65.41711207845606,258,cold
rifle,84.27208736698502,76.62216205464505,39,poison
bomb,63.068747938574276,28.6005622561065,194,cold
magic,9.889776308273746,50.79598937397548,238,fire
arrow,91.71716260986435,82.79854114146387,101,poison
bomb,17.18159593836154,68.60687005567392,145,cold
magic,26.145030818901915,72.14491778493168,251,poison
bomb,46.71627594502471,75.49753869624844,89,cold
rifle,1.0648362642326936,54.08893802605193,200,fire
bomb,35.01149694942784,58.26085140508411,318,lightning
magic,75.1795777400794,39.343559674912754,257,acid
arrow,5.724661128347208,34.62902940655359,237,fire
bomb,56.12859658969149,98.08948007471608,293,acid
bomb,31.13347573182832,1.2736702748770257,70,acid
arrow,87.02479400772992,2.166006438345347,116,fire
arrow,42.52592516233308,58.22055341154319,204,lightning
magic,42.196469946106994,3.7943099279037162,85,lightning
bomb,68.03917608189184,13.817448425772472,273,fire
bomb,84.89601433910069,44.42132364693988,75,fire
magic,50.96798318469903,9.973697338918864,79,acid
rifle,34.96328602196731,53.75735563693296,327,acid
arrow,13.056261699222837,23.27353460410706,227,thunder
arrow,14.373301221533996,38.47642548582505,95,poison
bomb,75.56394895902562,54.66237572542444,15,cold
magic,77.77290120166569,79.42811491133881,208,cold
magic,52.0297927279584,11.918588763510485,176,acid
magic,69.4603186883941,22.38272035182548,168,lightning
rifle,1.6093706209499237,96.70013961438441,58,acid
magic,70.91371182708676,97.43058271888708,4,cold
rifle,98.23600169070528,45.47750508679703,53,poison
magic,42.80030107583757,78.69185086521931,50,poison
rifle,64.13961225842625,97.39200082197121,21,cold
rifle,92.49678838727095,26.728700385990066,257,fire
rifle,59.41765812880052,43.25085387893811,164,lightning
magic,5.768865222923525,43.39518115543078,18,poison
magic,95.41002828002384,28.74917310991775,68,thunder
bomb,34.3098548733065,41.81865148152381,284,thunder
bomb,53.10749898787117,43.81238230188328,36,lightning
rifle,22.94970585038523,48.102703537902805,228,poison
magic,58.39686800959182,39.16287213548437,186,fire
bomb,9.831180405487371,90.14738527766191,159,cold
magic,9.394035120394584,2.9523853991883064,140,acid
magic,37.1484521117341,55.434923668637595,50,acid
arrow,21.754068696416095,34.12467101000799,28,poison
bomb,13.590799843354851,77.47393340362146,138,acid
arrow,37.366151236212644,8.01801029712842,56,thunder
magic,62.8159450234371,67.51930866907794,186,poison
bomb,51.28350736370565,84.13981509263702,328,acid
bomb,54.87943579238217,77.38132188192148,4,acid
bomb,92.63519954125562,9.932374658830678,23,lightning
bomb,39.72451715884561,53.93963066126115,3,lightning
arrow,97.47621764380628,58.9923567128187,126,fire
bomb,11.242054293735082,96.15392100289012,293,lightning
bomb,1.1030092784197087,36.060135250981965,113,lightning
arrow,55.83502480068275,98.65766134874441,249,poison
rifle,88.94894544635416,70.65696800463955,91,poison
bomb,80.62696562309517,17.105090515699807,278,cold
bomb,30.03538492204214,64.02243386170103,77,lightning
arrow,41.807218622258205,69.27413459375707,36,thunder
bomb,69.22290859270612,93.415529434485,268,lightning
magic,48.53996848842629,84.39393591881398,69,poison
magic,14.766378658787538,39.41117628384166,31,thunder
rifle,76.75258281427817,88.58891679312772,129,acid
magic,48.9037033081732,52.33908964057481,289,fire
bomb,36.218572265432,42.43546746318449,237,fire
magic,77.44093056045458,67.8342168396537,105,acid
arrow,21.927863064107157,64.18184660774713,345,acid
arrow,78.81089702672665,93.32049185600955,217,acid
magic,7.427347723975386,76.51735962211859,333,fire
bomb,36.558701785666734,69.33003701973081,330,cold
rifle,53.154166991453714,41.286378086871736,170,lightning
rifle,43.0367643429002,73.34515759255783,188,fire
arrow,39.61034858283996,89.01234621333812,247,cold
rifle,63.79652122087063,80.62991205157995,0,cold
magic,98.17427707267156,26.135580197591857,11,fire
magic,65.00772609559249,40.84937204207939,134,thunder
bomb,89.94731995787274,91.82663291539181,175,thunder
magic,97.5211422890793,44.9139351886087,40,fire
arrow,8.40313644538464,42.43942390426799,7,lightning
rifle,68.68325041118983,81.39936852165613,201,fire
magic,59.777807794919624,48.29731966441273,45,acid
arrow,53.13344083804799,58.517062294798926,263,cold
bomb,31.767426694427293,46.57349156966205,54,thunder
arrow,21.07754172497167,67.20368743240937,277,lightning
rifle,15.19241401810505,92.78069389883701,337,fire
bomb,69.524859643741,67.38726271546632,9,lightning
rifle,88.8125365848883,55.284916464695456,167,cold
magic,87.20681027358856,45.2451397340877,144,acid
rifle,82.95256813777047,8.006702949631295,272,lightning
bomb,3.6859179563406452,46.99590856324314,16,poison
arrow,88.05668759013655,17.522871651288916,323,lightning
arrow,8.73107512290191,39.77490819581347,57,acid
arrow,45.867226354581746,71.56404305952962,95,fire
rifle,15.147123612921842,72.99347344930376,51,fire
rifle,23.678288308811013,50.509728456678296,313,cold
arrow,52.35645638721056,80.35376800248108,180,cold
magic,52.15967215825861,50.897782666821826,103,poison
arrow,72.44495914123536,53.78922567871215,76,acid
bomb,30.444456727449175,77.63011647878139,323,acid
arrow,51.52536191145882,82.21049950479043,140,poison
arrow,71.86298503573371,73.23988927388815,91,lightning
rifle,51.14577215736007,75.6445708075767,257,poison
bomb,70.26411855584972,26.550897558202703,125,acid
arrow,7.419294457639635,4.96792839711464,300,acid
bomb,61.5645545039587,58.18971563948116,99,thunder
arrow,86.77675312457781,7.354404420869365,254,cold
bomb,79.31299518107848,76.02398811979492,286,thunder
bomb,43.780870221117965,50.64078956564112,167,acid
bomb,25.709049922146743,60.77654591571432,238,poison
bomb,8.09255576513147,58.4184500657254,149,poison
